Institution Type,Institution,Campus,County,FIPS,Institution Address,Latitude,Longitude,
TCAT,Crump,Main Campus,"Hardin County, Tennessee",47071,"3070 US-64, Crump, TN 38327",35.22106121,-88.31942925,
TCAT,Crump,McNairy Central High School,"McNairy County, Tennessee",47109,"493 High School Rd, Selmer, TN 38375",35.162328,-88.553232,
TCAT,Crump,Scotts Hill High School,"Henderson County, Tennessee",47077,"7871 TN-100, Reagan, TN 38368",35.516971,-88.290062,
TCAT,Crump,Wayne County Technology Center,"Wayne County, Tennessee",47181,"703 S Main St, Waynesboro, TN 38485",35.305016,-87.761962,
TCAT,Dickson,Advanced Manufacturing Campus,"Dickson County, Tennessee",47043,"248 Beasley Dr, Dickson, TN 37055",36.607575,-87.257213,
TCAT,Dickson,Clarksville Extension,"Montgomery County, Tennessee",47125,"135 International Blvd, Clarksville, TN 37040",36.05045555,-87.36651068,
TCAT,Dickson,Franklin Extension,"Williamson County, Tennessee",47187,"1228 Liberty Pike, Franklin, TN 37067",35.924704,-86.808695,
TCAT,Dickson,Main Campus,"Dickson County, Tennessee",47043,"740 TN-46, Dickson, TN 37055",36.05050033,-87.36667657,
Community College,Dyersburg,Not Available for Community Colleges,"Dyer County, Tennessee",47045,"1510 Lake Rd, Dyersburg, TN 38024",36.04813475,-89.39095605,
TCAT,Elizabethton,Arney Street Campus,"Carter County, Tennessee",47019,"1500 Arney Street, Elizabethton, TN 37643",36.33758,-82.215655,
TCAT,Elizabethton,Cloudland High School,"Carter County, Tennessee",47019,"476 Cloadland Dr, Roan Mountain, TN 37687",36.193668,-82.062789,
TCAT,Elizabethton,Kingsport Higher Education Center,"Sullivan County, Tennessee",47165,"2533 N John B Dennis Hwy, Kingsport, TN 37660",36.56045913,-82.5005692,
TCAT,Elizabethton,Main Campus,"Carter County, Tennessee",47019,"426 TN-91, Elizabethton, TN 37643",36.36635454,-82.17871436,
TCAT,Elizabethton,Mountain City Extension Campus,"Johnson City, Tennessee",47091," 290 Fairground Ln Mountain City, TN 37683",36.479855,-81.797369,
